skip results/matrix_v4/v4_believer_1.json (exists)
skip results/matrix_v4/v4_believer_2.json (exists)
skip results/matrix_v4/v4_believer_3.json (exists)
ok   v4_believer 4
ok   v4_believer 5
ok   v4_believer 6
ok   v4_believer 7
ok   v4_believer 8
ok   v4_believer 9
ok   v4_believer 10
ok   v4_spec 1
ok   v4_spec 2
ok   v4_spec 3
ok   v4_spec 4
ok   v4_spec 5
ok   v4_spec 6
ok   v4_spec 7
ok   v4_spec 8
ok   v4_spec 9
ok   v4_spec 10
ok   v4_assoc 1
ok   v4_assoc 2
ok   v4_assoc 3
ok   v4_assoc 4
ok   v4_assoc 5
ok   v4_assoc 6
ok   v4_assoc 7
ok   v4_assoc 8
ok   v4_assoc 9
ok   v4_assoc 10
ok   v4_rejector 1
ok   v4_rejector 2
ok   v4_rejector 3
ok   v4_rejector 4
ok   v4_rejector 5
ok   v4_rejector 6
ok   v4_rejector 7
ok   v4_rejector 8
ok   v4_rejector 9
ok   v4_rejector 10
ok   v4_curious 1
ok   v4_curious 2
ok   v4_curious 3
ok   v4_curious 4
ok   v4_curious 5
ok   v4_curious 6
ok   v4_curious 7
ok   v4_curious 8
ok   v4_curious 9
ok   v4_curious 10
ok   v4_pure 1
ok   v4_pure 2
ok   v4_pure 3
ok   v4_pure 4
ok   v4_pure 5
ok   v4_pure 6
ok   v4_pure 7
ok   v4_pure 8
ok   v4_pure 9
ok   v4_pure 10
ok   random 1
ok   random 2
ok   random 3
ok   random 4
ok   random 5
ok   random 6
ok   random 7
ok   random 8
ok   random 9
ok   random 10
ok   qlearn 1
ok   qlearn 2
ok   qlearn 3
ok   qlearn 4
ok   qlearn 5
ok   qlearn 6
ok   qlearn 7
ok   qlearn 8
ok   qlearn 9
ok   qlearn 10
ok   ngram 1
ok   ngram 2
ok   ngram 3
ok   ngram 4
ok   ngram 5
ok   ngram 6
ok   ngram 7
ok   ngram 8
ok   ngram 9
ok   ngram 10
MATRIX_V4_DONE failures= 0
